Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly) 
 01/09  20:00:00,-0.14999999999999998,3.7782921222054157 
 01/09  21:00:00,0.4125,3.6112945607376507 
 01/09  22:00:00,1.2,3.5816736814212297 
 01/09  23:00:00,1.8250000000000002,3.583673893226919 
 01/09  24:00:00,1.6375,3.554651394237771 
 01/10  01:00:00,1.3,3.4201978063506028 
 01/10  02:00:00,3.2375000000000004,3.390790712140139 
 01/10  03:00:00,4.4,3.553573834478912 
 01/10  04:00:00,3.1500000000000005,3.5242381185308808 
 01/10  05:00:00,4.3375,3.4119799597868067 
 01/10  06:00:00,4.8125,3.4893283744441385 
 01/10  07:00:00,3.9,3.4187372104071018 
 01/10  08:00:00,4.85,3.539804560990307 
 01/10  09:00:00,6.85,4.91357811767372 
 01/10  10:00:00,9.537499999999998,6.14344191171722 
 01/10  11:00:00,10.7,6.819123563479789 
 01/10  12:00:00,10.2,7.154382039769805 
 01/10  13:00:00,9.212500000000003,7.369978549588027 
 01/10  14:00:00,6.300000000000001,7.574725983261761 
 01/10  15:00:00,4.2375,7.706207580801543 
 01/10  16:00:00,3.275,7.618282318592487 
 01/10  17:00:00,2.3375,6.944209792381281 
 01/10  18:00:00,1.375,6.062233324039753 
 01/10  19:00:00,1.0,5.754577197545108 
 01/10  20:00:00,2.25,5.675246959998018 
 01/10  21:00:00,3.0,5.66380674522615 
 01/10  22:00:00,3.625,5.567109054645688 
 01/10  23:00:00,4.0,5.5146199799389639 
 01/10  24:00:00,5.25,5.448887055861718 
 01/11  01:00:00,4.75,5.308473853217686 
 01/11  02:00:00,2.75,5.1826045990830729 
 01/11  03:00:00,4.5,5.107235685499149 
 01/11  04:00:00,4.125,5.159853404668574 
 01/11  05:00:00,2.375,5.007583482557483 
 01/11  06:00:00,0.75,4.797652219158584 
 01/11  07:00:00,4.375,4.701144385976209 
 01/11  08:00:00,4.5,4.9801926856529 
 01/11  09:00:00,6.125,5.792835401899027 
 01/11  10:00:00,10.5,6.510796303813763 
 01/11  11:00:00,13.25,7.150785728076649 
 01/11  12:00:00,15.25,7.428535359576076 
 01/11  13:00:00,14.75,7.837442067757255 
 01/11  14:00:00,14.625,7.981667151342211 
 01/11  15:00:00,16.25,8.211736968240843 
 01/11  16:00:00,15.75,8.32818052098378 
 01/11  17:00:00,11.25,7.9440618172001919 
 01/11  18:00:00,8.375,7.464751186643132 
 01/11  19:00:00,8.0,7.241284443191834 
 01/11  20:00:00,6.75,7.11942610917904 
 01/11  21:00:00,6.625,6.993464880035539 
 01/11  22:00:00,7.0,6.967206820011306 
 01/11  23:00:00,5.75,6.779590774283874 
 01/11  24:00:00,5.625,6.664566277852598 
 01/12  01:00:00,4.125,6.573744147974758 
 01/12  02:00:00,3.0,6.358657435966612 
 01/12  03:00:00,3.625,6.263677331744573 
 01/12  04:00:00,1.5,6.067437949508464 
 01/12  05:00:00,0.625,5.750758468673183 
 01/12  06:00:00,1.625,5.685759432854383 
 01/12  07:00:00,2.625,5.589937759483332 
 01/12  08:00:00,0.5,5.4525303105835889 
 01/12  09:00:00,3.375,5.857413381282379 
 01/12  10:00:00,6.625,6.186577529834637 
 01/12  11:00:00,7.0,6.359197558807721 
 01/12  12:00:00,7.0625,6.453754383815409 
 01/12  13:00:00,7.0375,6.641284347923198 
 01/12  14:00:00,7.0,7.348399028126854 
 01/12  15:00:00,7.0,7.940565778391565 
 01/12  16:00:00,5.125,7.545968996177408 
 01/12  17:00:00,2.75,7.014913665771288 
