Date/Time,PLENUM:Zone Air Temperature [C](TimeStep),SOUTH PERIMETER:Zone Air Temperature [C](TimeStep),EAST PERIMETER:Zone Air Temperature [C](TimeStep),NORTH PERIMETER:Zone Air Temperature [C](TimeStep),WEST PERIMETER:Zone Air Temperature [C](TimeStep),CORE:Zone Air Temperature [C](TimeStep) 
 01/21  11:45:00,9.026453972547138,15.548053755641425,15.399589144254075,15.529358511885249,15.399589144254073,17.369872985646958 
 01/21  12:00:00,9.02645397234663,15.548053755596902,15.399589144208355,15.529358511840514,15.399589144208349,17.36987298560166 
 01/21  12:15:00,9.026453972152494,15.548053755553804,15.399589144164102,15.529358511797179,15.399589144164093,17.369872985557799 
 01/21  12:30:00,9.02645397196453,15.54805375551201,15.39958914412122,15.529358511755167,15.399589144121217,17.369872985515337 
 01/21  12:45:00,9.026453971782538,15.548053755471578,15.399589144079725,15.529358511714559,15.399589144079723,17.369872985474225 
 01/21  13:00:00,9.026453971606328,15.548053755432422,15.399589144039546,15.529358511675233,15.399589144039542,17.369872985434417 
 01/21  13:15:00,9.02645397143572,15.548053755394527,15.399589144000658,15.529358511637165,15.399589144000654,17.369872985395884 
 01/21  13:30:00,9.026453971270533,15.548053755357829,15.399589143962976,15.529358511600288,15.399589143962972,17.36987298535857 
 01/21  13:45:00,9.026453971110599,15.54805375532231,15.39958914392653,15.529358511564605,15.399589143926529,17.369872985322439 
 01/21  14:00:00,9.026453970955745,15.548053755287914,15.399589143891224,15.529358511530062,15.399589143891224,17.369872985287456 
 01/21  14:15:00,9.026453970805813,15.548053755254604,15.399589143857014,15.529358511496595,15.399589143857013,17.369872985253584 
 01/21  14:30:00,9.026453970660647,15.548053755222336,15.399589143823894,15.52935851146421,15.399589143823892,17.369872985220789 
 01/21  14:45:00,9.026453970520099,15.548053755191127,15.399589143791852,15.52935851143284,15.39958914379185,17.369872985189038 
 01/21  15:00:00,9.026453970384012,15.548053755160922,15.399589143760826,15.529358511402457,15.39958914376082,17.369872985158297 
 01/21  15:15:00,9.026453970252252,15.54805375513166,15.399589143730755,15.529358511373039,15.399589143730749,17.369872985128528 
 01/21  15:30:00,9.026453970124678,15.548053755103338,15.399589143701667,15.529358511344546,15.399589143701663,17.369872985099709 
